Gene,Site,Depth,Value,Reads_mapped_transcriptome,Normalized_coverage
hspA_1,F,0.5,7.163599182,23218,0.000308536
hspA_30,F,0.5,7.132924335,23218,0.000307215
hspA_34,F,0.5,50.08384458,23218,0.002157113
hspA_35,F,0.5,61.53828829,23218,0.002650456
hspA_36,F,0.5,2.200589971,23218,9.47795E-05
hspA_13,F,0.5,8.789366053,23218,0.000378558
hspA_1,F,1.5,10.67280164,21749,0.000490726
hspA_30,F,1.5,16.24948875,21749,0.000747137
hspA_34,F,1.5,205.2924335,21749,0.009439167
hspA_35,F,1.5,117.6058559,21749,0.005407414
hspA_36,F,1.5,1.238938053,21749,5.69653E-05
hspA_13,F,1.5,24.89775051,21749,0.001144777
hspA_1,F,2.5,17.52965235,11470,0.001528304
hspA_30,F,2.5,19.08179959,11470,0.001663627
hspA_34,F,2.5,171.5153374,11470,0.014953386
hspA_35,F,2.5,155.5833333,11470,0.013564371
hspA_36,F,2.5,8.014749263,11470,0.000698758
hspA_13,F,2.5,20.09202454,11470,0.001751702
hspA_1,F,3.5,54.51533742,37508,0.001453432
hspA_30,F,3.5,92.32515337,37508,0.002461479
hspA_34,F,3.5,343.6912065,37508,0.009163144
hspA_35,F,3.5,423,37508,0.011277594
hspA_36,F,3.5,40.31858407,37508,0.001074933
hspA_13,F,3.5,47.08588957,37508,0.001255356
hspA_1,F,4.5,52.31083845,35909,0.001456761
hspA_30,F,4.5,106.0552147,35909,0.002953444
hspA_34,F,4.5,347.6932515,35909,0.009682621
hspA_35,F,4.5,430.518018,35909,0.01198914
hspA_36,F,4.5,60.2300885,35909,0.001677298
hspA_13,F,4.5,46.35787321,35909,0.001290982
hspA_1,F,5.5,71.96523517,51777,0.001389907
hspA_30,F,5.5,134.9611452,51777,0.002606585
hspA_34,F,5.5,213.8568507,51777,0.004130345
hspA_35,F,5.5,276.0292793,51777,0.005331118
hspA_36,F,5.5,74.08849558,51777,0.001430915
hspA_13,F,5.5,65.28220859,51777,0.001260834
hspA_1,P,0.5,0.842535787,17066,4.93693E-05
hspA_30,P,0.5,1.159509202,17066,6.79426E-05
hspA_34,P,0.5,12.40490798,17066,0.000726878
hspA_35,P,0.5,9.948198198,17066,0.000582925
hspA_36,P,0.5,0,17066,0
hspA_13,P,0.5,1.104294479,17066,6.47073E-05
hspA_1,P,1.5,2.705521472,13851,0.00019533
hspA_30,P,1.5,5.198364008,13851,0.000375306
hspA_34,P,1.5,55.17177914,13851,0.003983234
hspA_35,P,1.5,39.12387387,13851,0.002824624
