Fjord,Station,Depth,TOC,CtoN,d13C
VK,AB,1.5,1.6505,12.03865791,-29.831
VK,AB,3.5,1.6498,12.72993827,-24.742
VK,AB,4.5,1.6428,12.53089245,-25.262
VK,AB,5.5,1.8576,9.150738916,-24.19
VK,AB,6.5,1.6158,13.65849535,-24.325
VK,AB,7.5,1.4508,12.55017301,-24.886
VK,AB,8.5,1.3977,12.26052632,-26.965
VK,AB,9.5,1.5654,13.51813472,-26.968
VK,AB,11.5,1.4652,12.69670711,-25.009
VK,AB,11.5,1.4567,13.0178731,-25.031
VK,AB,12.5,1.4652,12.69670711,-25.009
VK,AB,13.5,1.5234,13.22395833,-24.781
VK,AB,14.5,1.434,12.45873154,-25.498
VK,AB,16.5,1.5113,13.35070671,-24.763
VK,AB,17.5,1.423,12.9011786,-25.618
VK,AB,18.5,1.3618,13.0440613,-25.856
VK,AB,19.5,1.5154,13.55456172,-25.465
VK,AC,0.5,1.4333,13.3953271,-26.329
VK,AC,1.5,1.49,11.46153846,-25.546
VK,AC,2.5,1.4188,13.0764977,-25.637
VK,AC,3.5,1.527,13.84406165,-25.914
VK,AC,4.5,1.37,12.23214286,-25.66
VK,AC,5.5,1.4278,12.50262697,-25.868
VK,AC,6.5,1.4526,12.74210526,-25.966
VK,AC,7.5,1.5514,13.47871416,-25.804
VK,AC,8.5,1.3904,13.35638809,-25.854
VK,AC,9.5,1.4943,12.84866724,-25.861
VK,AC,10.5,1.5119,13.88337925,-26.364
VK,AC,11.5,1.4454,13.22415371,-26.029
VK,AC,12.5,1.2606,14.16404494,-25.853
VK,AC,12.5,1.3901,13.95682731,-25.71
VK,AC,13.5,1.356,13.03846154,-25.96
VK,AC,15.5,1.3485,13.73217923,-25.883
VK,AC,16.5,1.4823,13.71230342,-26.192
VK,AC,17.5,1.3773,13.58284024,-27.09
VK,AC,19.5,1.3575,13.79573171,-25.819
VK,AC,19.5,1.2786,13.33263816,-26.323
